id,player_name,pos,age,state,club_name
221,Tom Cleverley ,M,29,Reserve,Watford
222,Jack Stephens ,D,25,Starter,Southampton
223,Kurt Zouma ,D,24,Starter,Everton
224,Ayoze Pérez ,F,25,Starter,Newcastle
225,Caglar Söyüncü ,D,22,Reserve,Leicester
226,Carl Jenkinson ,D,27,Reserve,Arsenal
227,Danny Simpson ,D,32,Reserve,Leicester
228,Daryl Janmaat ,D,29,Starter,Watford
229,Davy Pröpper ,M,27,Starter,Brighton
230,Divock Origi ,F,23,Reserve,Liverpool
231,Fabri ,GK,31,Reserve,Fulham
232,James Ward-Prowse ,M,24,Starter,Southampton
233,Joe Hart ,GK,31,Starter,Burnley
234,Joshua King ,F,27,Starter,Bournemouth
235,José Izquierdo ,F,26,Reserve,Brighton
236,Jürgen Locadia ,F,25,Reserve,Brighton
237,Lewis Dunk ,D,27,Starter,Brighton
238,Marc Albrighton ,M,29,Reserve,Leicester
239,Matt Ritchie ,M,29,Starter,Newcastle
240,Matteo Darmian ,D,29,Reserve,Manchester United
241,Mohamed Diamé ,M,31,Starter,Newcastle
242,Rachid Ghezzal ,F,26,Reserve,Leicester
243,Roberto Pereyra ,M,28,Starter,Watford
244,Sebastian Prödl ,D,31,Reserve,Watford
245,Steve Cook ,D,27,Starter,Bournemouth
246,Steven Defour ,M,30,Reserve,Burnley
247,Sergio Rico ,GK,25,Reserve,Fulham
248,Adama Traoré ,F,23,Reserve,Wolverhampton
249,Federico Fernández ,D,30,Reserve,Newcastle
250,Ryan Babel ,F,32,Reserve,Fulham
251,Miguel Almirón ,M,25,Reserve,Newcastle
252,Emerson ,D,24,Starter,Chelsea
253,Tom Heaton ,GK,32,Reserve,Burnley
254,Antonio Barreca ,D,24,Reserve,Newcastle
255,Raúl Jiménez ,F,27,Starter,Wolverhampton
256,Andrii Yarmolenko ,F,29,Reserve,West Ham
257,Angus Gunn ,GK,23,Starter,Southampton
258,Arthur Masuaku ,D,25,Reserve,West Ham
259,Artur Boruc ,GK,39,Reserve,Bournemouth
260,Ashley Barnes ,F,29,Reserve,Burnley
261,Ben Gibson ,D,26,Reserve,Burnley
262,Callum Wilson ,F,27,Starter,Bournemouth
263,Fabian Schär ,D,27,Reserve,Newcastle
264,Fabián Balbuena ,D,27,Reserve,West Ham
265,Florin Andone ,F,26,Reserve,Brighton
266,Harry Arter ,M,29,Starter,Cardiff
267,Jamaal Lascelles ,D,25,Starter,Newcastle
268,Joselu ,F,29,Starter,Newcastle
269,Mattéo Guendouzi ,M,19,Starter,Arsenal
270,Michel Vorm ,GK,35,Reserve,Tottenham
271,Nathan Aké ,D,24,Starter,Bournemouth
272,Robert Snodgrass ,F,31,Starter,West Ham
273,Ryan Fredericks ,D,26,Reserve,West Ham
274,Sam Gallagher ,F,23,Reserve,Southampton
275,Shane Duffy ,D,27,Starter,Brighton
276,Sung-yong Ki ,M,30,Reserve,Newcastle
277,Tom Cairney ,M,28,Starter,Fulham
278,Trent Alexander-Arnold ,D,20,Starter,Liverpool
279,Wayne Hennessey ,GK,32,Starter,Crystal Palace
280,Willy Boly ,D,28,Starter,Wolverhampton
281,Étienne Capoue ,M,30,Starter,Watford
282,Florian Lejeune ,D,27,Reserve,Newcastle
283,Jack Cork ,M,29,Starter,Burnley
284,Martin Dubravka ,GK,30,Starter,Newcastle
285,Leander Dendoncker ,M,23,Reserve,Wolverhampton
286,Jordon Ibe ,F,23,Reserve,Bournemouth
287,Samir Nasri ,F,31,Reserve,West Ham
288,Jonny Castro ,D,25,Starter,Wolverhampton
289,Aaron Lennon ,F,31,Starter,Burnley
290,Adam Smith ,D,27,Starter,Bournemouth
291,Ainsley Maitland-Niles ,M,21,Reserve,Arsenal
292,Andrew Surman ,M,32,Reserve,Bournemouth
293,Anthony Knockaert ,F,27,Starter,Brighton
294,Charlie Daniels ,D,32,Starter,Bournemouth
295,Ciaran Clark ,D,29,Starter,Newcastle
296,Dan Gosling ,M,29,Starter,Bournemouth
297,Diego Rico ,D,26,Reserve,Bournemouth
298,Erik Durm ,D,26,Starter,Huddersfield
299,Heurelho Gomes ,GK,38,Reserve,Watford
300,Jason Puncheon ,M,32,Reserve,Huddersfield
301,Javier Manquillo ,D,24,Reserve,Newcastle
302,Jeff Hendrick ,M,27,Starter,Burnley
303,Joel Ward ,D,29,Reserve,Crystal Palace
304,John Ruddy ,GK,32,Reserve,Wolverhampton
305,Junior Stanislas ,F,29,Reserve,Bournemouth
306,Laurent Depoitre ,F,30,Reserve,Huddersfield
307,Lewis Cook ,M,22,Reserve,Bournemouth
308,Marcus Bettinelli ,GK,26,Starter,Fulham
309,Matej Vydra ,F,26,Reserve,Burnley
310,Mathew Ryan ,GK,27,Starter,Brighton
311,Matt Targett ,D,23,Starter,Southampton
312,Michy Batshuayi ,F,25,Reserve,Crystal Palace
313,Nathaniel Chalobah ,M,24,Reserve,Watford
314,Nick Pope ,GK,26,Reserve,Burnley
315,Paul Dummett ,D,27,Starter,Newcastle
316,Robbie Brady ,M,27,Reserve,Burnley
317,Ruben Loftus-Cheek ,M,23,Reserve,Chelsea
318,Shinji Okazaki ,F,32,Reserve,Leicester
319,Steve Mounié ,F,24,Starter,Huddersfield
320,Terence Kongolo ,D,25,Starter,Huddersfield
321,Havard Nordtveit ,M,28,Reserve,Fulham
322,Vincent Janssen ,F,24,Reserve,Tottenham
323,Youri Tielemans ,M,21,Reserve,Leicester
324,Zanka ,D,28,Starter,Huddersfield
325,Hélder Costa ,F,25,Starter,Wolverhampton
326,Jordan Ayew ,F,27,Reserve,Crystal Palace
327,Alfie Mawson ,D,25,Reserve,Fulham
328,Matty James ,M,27,Reserve,Leicester
329,Ashley Westwood ,M,29,Starter,Burnley
330,Adama Diakhaby ,F,22,Reserve,Huddersfield
331,Alex Pritchard ,M,25,Starter,Huddersfield
332,Alex Smithies ,GK,29,Reserve,Cardiff
333,Andreas Pereira ,M,23,Reserve,Manchester United
334,Ben Foster ,GK,36,Starter,Watford
335,Bobby Reid ,M,26,Starter,Cardiff
336,Bruno ,D,38,Starter,Brighton
337,Christian Atsu ,F,27,Reserve,Newcastle
338,Christian Kabasele ,D,28,Starter,Watford
339,Dale Stephens ,M,29,Starter,Brighton
340,Danny Williams ,M,30,Reserve,Huddersfield
341,DeAndre Yedlin ,D,25,Starter,Newcastle
342,Glenn Murray ,F,35,Starter,Brighton
343,Isaac Success ,F,23,Reserve,Watford
344,Joe Bryan ,D,25,Starter,Fulham
345,Johann Berg Gudmundsson ,F,28,Starter,Burnley
346,Jonathan Walters ,F,35,Reserve,Burnley
347,José Holebas ,D,34,Starter,Watford
348,Lee Grant ,GK,36,Reserve,Manchester United
349,Maarten Stekelenburg ,GK,36,Reserve,Everton
350,Pape Souaré ,D,28,Reserve,Crystal Palace
351,Ryan Fraser ,F,25,Starter,Bournemouth
352,Rúben Vinagre ,D,20,Reserve,Wolverhampton
353,Simon Francis ,D,34,Reserve,Bournemouth
354,Solly March ,M,24,Starter,Brighton
355,Will Hughes ,M,23,Starter,Watford
356,Willy Caballero ,GK,37,Reserve,Chelsea
357,Bruno Ecuele Manga ,D,30,Starter,Cardiff
358,Adam Masina ,D,25,Reserve,Watford
359,Ivan Cavaleiro ,F,25,Reserve,Wolverhampton
360,Joe Gomez ,D,21,Starter,Liverpool
361,Jonas Lössl ,GK,30,Starter,Huddersfield
362,Junior Hoilett ,F,28,Reserve,Cardiff
363,Marco van Ginkel ,M,26,Reserve,Chelsea
364,Stephen Ward ,D,33,Reserve,Burnley
365,Tim Ream ,D,31,Reserve,Fulham
366,Beram Kayal ,M,30,Reserve,Brighton
367,Bernardo ,D,23,Reserve,Brighton
368,Charlie Taylor ,D,25,Starter,Burnley
369,Christopher Schindler ,D,28,Starter,Huddersfield
370,Diogo Dalot ,D,20,Reserve,Manchester United
371,Dominic Solanke ,F,21,Reserve,Bournemouth
372,Elias Kachunga ,F,26,Reserve,Huddersfield
373,Josh Murphy ,F,24,Starter,Cardiff
374,José Salomón Rondón ,F,29,Reserve,Newcastle
375,Julián Speroni ,GK,39,Reserve,Crystal Palace
376,Karl Darlow ,GK,28,Reserve,Newcastle
377,Kenedy ,M,23,Starter,Newcastle
378,Lys Mousset ,F,23,Reserve,Bournemouth
379,Martin Kelly ,D,28,Reserve,Crystal Palace
380,Matthew Lowton ,D,29,Starter,Burnley
381,Maxime Le Marchand ,D,29,Starter,Fulham
382,Miguel Britos ,D,33,Reserve,Watford
383,Phil Bardsley ,D,33,Reserve,Burnley
384,Philippe Sandler ,D,22,Reserve,Manchester City
385,Rob Elliot ,GK,32,Reserve,Newcastle
386,Rob Holding ,D,23,Reserve,Arsenal
387,Robert Green ,GK,39,Reserve,Chelsea
388,Sean Morrison ,D,28,Starter,Cardiff
389,Tom Davies ,M,20,Starter,Everton
390,Yves Bissouma ,M,22,Reserve,Brighton
391,Joe Ralls ,M,25,Starter,Cardiff
392,Aron Gunnarsson ,M,29,Reserve,Cardiff
393,Ademola Lookman ,F,21,Reserve,Everton
394,Craig Cathcart ,D,30,Starter,Watford
395,Eldin Jakupovic ,GK,34,Reserve,Leicester
396,Florent Hadergjonaj ,D,24,Reserve,Huddersfield
397,Kevin Long ,D,28,Reserve,Burnley
398,Marc Navarro ,D,23,Reserve,Watford
399,Brendan Galloway ,D,23,Reserve,Everton
400,Callum Paterson ,M,24,Reserve,Cardiff
401,Jonathan Hogg ,M,30,Starter,Huddersfield
402,Isaac Hayden ,M,24,Reserve,Newcastle
403,Kevin McDonald ,M,30,Starter,Fulham
404,Romain Saïss ,M,29,Reserve,Wolverhampton
405,Juan Foyth ,D,21,Starter,Tottenham
406,Bakary Sako ,F,30,Reserve,Crystal Palace
407,Daniel Amartey ,M,24,Starter,Leicester
408,Gaëtan Bong ,D,30,Starter,Brighton
409,Leandro Bacuna ,M,27,Reserve,Cardiff
410,Chris Löwe ,D,29,Starter,Huddersfield
411,Cyrus Christie ,D,26,Reserve,Fulham
412,Danny Ward ,F,28,Reserve,Cardiff
413,Danny Ward ,GK,25,Reserve,Leicester
414,David Brooks ,M,21,Starter,Bournemouth
415,Dominic Calvert-Lewin ,F,22,Reserve,Everton
416,Jan Bednarek ,D,23,Starter,Southampton
417,Kiko Femenía ,D,28,Reserve,Watford
418,Kyle Walker-Peters ,D,21,Reserve,Tottenham
419,Marcus Rashford ,F,21,Starter,Manchester United
420,Oleksandr Zinchenko ,D,22,Reserve,Manchester City
421,Paulo Gazzaniga ,GK,27,Reserve,Tottenham
422,Ryan Bennett ,D,29,Starter,Wolverhampton
423,Tim Fosu-Mensah ,D,21,Starter,Fulham
424,Tom Smith ,D,26,Reserve,Huddersfield
425,Joe Bennett ,D,29,Starter,Cardiff
426,Neil Etheridge ,GK,29,Starter,Cardiff
427,Greg Cunningham ,D,28,Reserve,Cardiff
428,Lee Peltier ,D,32,Reserve,Cardiff
429,Matthew Connolly ,D,31,Reserve,Cardiff
430,Nathaniel Mendez-Laing ,F,26,Starter,Cardiff
431,Leon Balogun ,D,30,Reserve,Brighton
432,Josh Sims ,F,22,Reserve,Southampton
433,Adalberto Peñaranda ,F,21,Reserve,Watford
434,Abdelhamid Sabiri ,M,22,Reserve,Huddersfield
435,Juninho Bacuna ,M,21,Reserve,Huddersfield
436,Kenneth Zohore ,F,25,Reserve,Cardiff
437,Víctor Camarasa ,M,24,Starter,Cardiff
438,Dan Burn ,D,26,Reserve,Brighton
439,David Button ,GK,30,Reserve,Brighton
440,Jason Steele ,GK,28,Reserve,Brighton
441,Peter Crouch ,F,38,Reserve,Burnley
442,Aaron Wan-Bissaka ,D,21,Starter,Crystal Palace
443,Adrian Mariappa ,D,32,Reserve,Watford
444,Arijanet Muric ,GK,20,Reserve,Manchester City
445,Conor Coady ,D,26,Starter,Wolverhampton
446,Emerson Hyndman ,M,23,Reserve,Bournemouth
447,Jon Gorenc-Stankovic ,D,23,Reserve,Huddersfield
448,Jonjoe Kenny ,D,22,Starter,Everton
449,Ken Sema ,M,25,Reserve,Watford
450,Philip Billing ,M,22,Starter,Huddersfield
451,Stuart O'Keefe ,M,28,Reserve,Cardiff
452,Sol Bamba ,D,34,Starter,Cardiff
453,Neeskens Kebano ,M,27,Reserve,Fulham
454,Jazz Richards ,D,28,Reserve,Cardiff
455,Ibrahima Cissé ,M,25,Reserve,Fulham
456,Karlan Grant ,F,21,Reserve,Huddersfield
457,Ben Hamer ,GK,31,Reserve,Huddersfield
458,Ben Woodburn ,F,19,Reserve,Liverpool
459,Jamal Blackman ,GK,25,Reserve,Chelsea
460,Kadeem Harris ,M,25,Reserve,Cardiff
461,Phil Foden ,M,18,Reserve,Manchester City
462,Chris Mepham ,D,21,Reserve,Bournemouth
463,Brian Murphy ,GK,35,Reserve,Cardiff
464,Harvey Barnes ,M,21,Reserve,Leicester
465,Matt Doherty ,D,27,Starter,Wolverhampton
466,Scott McTominay ,M,22,Starter,Manchester United
467,Loïc Damour ,M,28,Reserve,Cardiff
468,Isaac Mbenza ,F,23,Reserve,Huddersfield
469,Denis Odoi ,D,30,Starter,Fulham
470,Domingos Quina ,M,19,Reserve,Watford
471,Floyd Ayité ,F,30,Reserve,Fulham
472,Ryan Sessegnon ,M,18,Reserve,Fulham
473,Anders Lindegaard ,GK,34,Reserve,Burnley
474,Ethan Ampadu ,D,18,Reserve,Chelsea
475,Hamza Choudhury ,M,21,Reserve,Leicester
476,Konstantinos Mavropanos ,D,21,Reserve,Arsenal
477,Adam Legzdins ,GK,32,Reserve,Burnley
478,Connor Randall ,D,23,Reserve,Liverpool
479,Declan Rice ,M,20,Starter,West Ham
480,Freddie Woodman ,GK,22,Reserve,Newcastle
481,Jack Simpson ,D,22,Reserve,Bournemouth
482,Joel Coleman ,GK,23,Reserve,Huddersfield
483,Marcelo Djaló ,D,25,Reserve,Fulham
484,Pontus Dahlberg ,GK,20,Reserve,Watford
485,Rhys Healey ,F,24,Reserve,Cardiff
486,Will Norris ,GK,25,Reserve,Wolverhampton
487,Callum Hudson-Odoi ,F,18,Reserve,Chelsea
488,Grady Diangana ,F,20,Reserve,West Ham
489,Yan Valery ,D,20,Starter,Southampton
490,Luca de la Torre ,M,20,Reserve,Fulham
491,Morgan Gibbs-White ,M,19,Reserve,Wolverhampton
492,Ryan Inniss ,D,23,Reserve,Crystal Palace
493,Lucas Perri ,GK,21,Reserve,Crystal Palace
494,Jack Rose ,GK,24,Reserve,Southampton
495,Sean Longstaff ,M,21,Reserve,Newcastle
496,Michael Obafemi ,F,18,Reserve,Southampton
497,Dwight McNeil ,F,19,Reserve,Burnley
498,Robert Lewandowski ,F,30,Starter,Bayern Munich
499,Manuel Neuer ,GK,33,Starter,Bayern Munich
500,Thomas Müller ,F,29,Reserve,Bayern Munich
501,James Rodríguez ,M,27,Starter,Bayern Munich
502,Franck Ribéry ,F,36,Starter,Bayern Munich
503,Jérôme Boateng ,D,30,Reserve,Bayern Munich
504,Thiago ,M,28,Starter,Bayern Munich
505,Marco Reus ,M,29,Starter,Borussia Dortmund
506,David Alaba ,D,26,Starter,Bayern Munich
507,Mario Götze ,M,26,Reserve,Borussia Dortmund
508,Mats Hummels ,D,30,Starter,Bayern Munich
509,Kingsley Coman ,F,22,Starter,Bayern Munich
510,Leon Goretzka ,M,24,Reserve,Bayern Munich
511,Axel Witsel ,M,30,Starter,Borussia Dortmund
512,Joshua Kimmich ,D,24,Starter,Bayern Munich
513,Corentin Tolisso ,M,24,Reserve,Bayern Munich
514,Arjen Robben ,F,35,Reserve,Bayern Munich
515,Thomas Delaney ,M,27,Starter,Borussia Dortmund
516,Javi Martínez ,M,30,Starter,Bayern Munich
517,Ignacio Camacho ,M,28,Reserve,Wolfsburg
518,Marius Wolf ,F,23,Starter,Borussia Dortmund
519,Sebastian Rudy ,M,29,Reserve,Schalke 04
520,Karim Bellarabi ,F,29,Reserve,Bayer Leverkusen
521,Kevin Volland ,F,26,Starter,Bayer Leverkusen
522,Mahmoud Dahoud ,M,23,Reserve,Borussia Dortmund
523,Nabil Bentaleb ,M,24,Starter,Schalke 04
524,Rafinha ,D,33,Reserve,Bayern Munich
525,Sven Bender ,D,29,Reserve,Bayer Leverkusen
526,Yevhen Konoplyanka ,F,29,Reserve,Schalke 04
